,time_of_experiment,scanner_status,advertiser_status,RSSI,distance
0,2020-07-17 19:37:02.139339,3,3,-72,8
0,2020-07-17 19:37:04.144385,3,3,-72,8
0,2020-07-17 19:37:06.148578,3,3,-70,8
0,2020-07-17 19:37:08.154366,3,3,-70,8
0,2020-07-17 19:37:10.158635,3,3,-72,8
0,2020-07-17 19:37:12.164448,3,3,-71,8
0,2020-07-17 19:37:14.168671,3,3,-71,8
0,2020-07-17 19:37:16.174458,3,3,-72,8
0,2020-07-17 19:37:18.178776,3,3,-71,8
0,2020-07-17 19:37:20.184525,3,3,-71,8
0,2020-07-17 19:37:22.189464,3,3,-71,8
0,2020-07-17 19:37:24.194507,3,3,-72,8
0,2020-07-17 19:37:26.198807,3,3,-72,8
0,2020-07-17 19:37:28.204636,3,3,-72,8
0,2020-07-17 19:37:30.208865,3,3,-77,8
0,2020-07-17 19:37:32.214602,3,3,-72,8
0,2020-07-17 19:37:34.218956,3,3,-73,8
0,2020-07-17 19:37:36.224686,3,3,-71,8
0,2020-07-17 19:37:38.229573,3,3,-72,8
0,2020-07-17 19:37:40.234711,3,3,-73,8
0,2020-07-17 19:37:42.239760,3,3,-71,8
0,2020-07-17 19:37:44.244658,3,3,-71,8
0,2020-07-17 19:37:46.249669,3,3,-72,8
0,2020-07-17 19:37:48.254797,3,3,-72,8
0,2020-07-17 19:37:50.259185,3,3,-70,8
0,2020-07-17 19:37:52.264791,3,3,-70,8
0,2020-07-17 19:37:54.269817,3,3,-71,8
0,2020-07-17 19:37:56.274851,3,3,-70,8
0,2020-07-17 19:37:58.279931,3,3,-72,8
0,2020-07-17 19:38:00.284918,3,3,-72,8
0,2020-07-17 19:38:02.289221,3,3,-72,8
0,2020-07-17 19:38:04.294927,3,3,-71,8
0,2020-07-17 19:38:06.300031,3,3,-71,8
0,2020-07-17 19:38:08.304898,3,3,-71,8
0,2020-07-17 19:38:10.309883,3,3,-71,8
0,2020-07-17 19:38:12.315061,3,3,-71,8
0,2020-07-17 19:38:14.320098,3,3,-73,8
0,2020-07-17 19:38:16.324982,3,3,-71,8
0,2020-07-17 19:38:18.330063,3,3,-72,8
0,2020-07-17 19:38:20.335121,3,3,-71,8
0,2020-07-17 19:38:21.645160,3,3,-71,8
0,2020-07-17 19:38:23.650055,3,3,-71,8
0,2020-07-17 19:38:25.655137,3,3,-72,8
0,2020-07-17 19:38:27.071300,3,3,-73,8
0,2020-07-17 19:38:29.076351,3,3,-73,8
0,2020-07-17 19:38:31.081565,3,3,-72,8
0,2020-07-17 19:38:33.086423,3,3,-71,8
0,2020-07-17 19:38:35.091525,3,3,-71,8
0,2020-07-17 19:38:37.096613,3,3,-71,8
0,2020-07-17 19:38:39.101598,3,3,-72,8
0,2020-07-17 19:38:41.106558,3,3,-70,8
0,2020-07-17 19:38:43.111631,3,3,-71,8
0,2020-07-17 19:38:45.094189,3,3,-71,8
0,2020-07-17 19:38:47.099079,3,3,-72,8
0,2020-07-17 19:38:49.104094,3,3,-73,8
0,2020-07-17 19:38:50.109182,3,3,-73,8
0,2020-07-17 19:38:52.114223,3,3,-72,8
0,2020-07-17 19:38:54.119274,3,3,-77,8
0,2020-07-17 19:38:56.124163,3,3,-79,8
0,2020-07-17 19:38:58.129358,3,3,-72,8
0,2020-07-17 19:38:59.025473,3,3,-71,8
0,2020-07-17 19:39:01.030610,3,3,-70,8
0,2020-07-17 19:39:02.508004,3,3,-71,8
0,2020-07-17 19:39:04.513071,3,3,-69,8
0,2020-07-17 19:39:06.518116,3,3,-77,8
0,2020-07-17 19:39:08.523179,3,3,-70,8
0,2020-07-17 19:39:10.528185,3,3,-75,8
0,2020-07-17 19:39:12.533130,3,3,-76,8
0,2020-07-17 19:39:14.538210,3,3,-74,8
0,2020-07-17 19:39:15.401848,3,3,-87,8
0,2020-07-17 19:39:17.407133,3,3,-86,8
0,2020-07-17 19:39:19.411924,3,3,-86,8
0,2020-07-17 19:39:21.417078,3,3,-67,8
0,2020-07-17 19:39:23.422048,3,3,-83,8
0,2020-07-17 19:39:25.427208,3,3,-74,8
0,2020-07-17 19:39:27.432011,3,3,-75,8
0,2020-07-17 19:39:29.437214,3,3,-74,8
0,2020-07-17 19:39:30.017128,3,3,-83,8
0,2020-07-17 19:39:31.277113,3,3,-84,8
0,2020-07-17 19:39:33.282212,3,3,-67,8
0,2020-07-17 19:39:35.287200,3,3,-74,8
0,2020-07-17 19:39:36.397131,3,3,-74,8
0,2020-07-17 19:39:38.402205,3,3,-74,8
0,2020-07-17 19:39:40.407358,3,3,-85,8
0,2020-07-17 19:39:41.404718,3,3,-67,8
0,2020-07-17 19:39:43.409663,3,3,-84,8
0,2020-07-17 19:39:45.414791,3,3,-73,8
0,2020-07-17 19:39:46.433452,3,3,-86,8
0,2020-07-17 19:39:48.438654,3,3,-67,8
0,2020-07-17 19:39:49.609744,3,3,-85,8
0,2020-07-17 19:39:51.614772,3,3,-67,8
